tag,date,question_count,question_pct,unanswered_count,unanswered_pct
windows,9/21/2018,124734.00,7.56E-03,38998.00,8.13E-03
android-pay,9/21/2018,490.00,2.97e-5,221.00,4.61e-5
amazon-elastic-beanstalk,9/21/2018,5483.00,3.32477e-4,2220.00,4.62923e-4
amazon-dynamodb,9/21/2018,5973.00,3.62E-04,2175.00,4.5354e-4
amazon-cloudwatch,9/21/2018,1166.00,7.07e-5,498.00,1.03845e-4
applepay,9/21/2018,356.00,2.16e-5,173.00,3.61e-5
amazon-cloudformation,9/21/2018,2510.00,1.52201e-4,888.00,1.85169e-4
stripe-payments,9/21/2018,4957.00,3.00585e-4,1794.00,3.74085e-4
actionscript-3,9/20/2018,41150.00,2.50E-03,11032.00,2.30E-03
amazon,9/20/2018,3639.00,2.20763e-4,1413.00,2.94852e-4
amazon-ecs,9/20/2018,1070.00,6.49e-5,509.00,1.06213e-4
amazon-glacier,9/20/2018,192.00,1.16e-5,59.00,1.23e-5
amazon-lambda,9/20/2018,7974.00,4.83748e-4,7974.00,1.66E-03
amazon-elasticache,9/20/2018,434.00,2.63e-5,180.00,3.76e-5
android,9/20/2018,1137726.00,6.90E-02,424758.00,8.86E-02
mongodb,9/20/2018,104035.00,6.31E-03,36515.00,7.62E-03
amazon-sns,9/20/2018,1397.00,8.48e-5,599.00,1.24994e-4
amazon-ebs,9/20/2018,338.00,2.05e-5,54.00,1.13e-5
dropbox,9/20/2018,3071.00,1.86304e-4,1171.00,2.44353e-4
cognos,9/20/2018,850.00,5.16e-5,381.00,7.95e-5
osx,9/20/2018,87439.00,5.30E-03,87439.00,1.82E-02
stripe-payments,9/20/2018,4955.00,3.00596e-4,1793.00,3.7414e-4
amazon-kinesis,9/20/2018,758.00,4.6e-5,373.00,7.78e-5
ios8,9/20/2018,9400.00,5.70259e-4,3213.00,6.70461e-4
amazon-elb,9/20/2018,1449.00,8.79e-5,561.00,1.17064e-4
amazon-vpc,9/20/2018,718.00,4.36e-5,214.00,4.47e-5
amazon-swf,9/20/2018,232.00,1.41e-5,77.00,1.61e-5
amazon-s3,9/20/2018,25387.00,1.54E-03,10002.00,2.09E-03
amazon-web-services,9/20/2018,63751.00,3.87E-03,25081.00,5.23E-03
applepay,9/20/2018,356.00,2.16e-5,173.00,3.61e-5
amazon-simpledb,9/20/2018,392.00,2.38e-5,78.00,1.63e-5
azure,9/20/2018,61094.00,3.71E-03,21054.00,4.39E-03
amazon-redshift,9/20/2018,3481.00,2.11178e-4,1257.00,2.623e-4
sql-server,9/20/2018,242170.00,1.47E-02,60779.00,1.27E-02
amazon-cloudformation,9/20/2018,2505.00,1.51968e-4,886.00,1.84883e-4
amazon-cloudwatch,9/20/2018,1165.00,7.07e-5,498.00,1.03918e-4
amazon-sqs,9/20/2018,1574.00,9.55e-5,553.00,1.15395e-4
amazon-dynamodb,9/20/2018,5963.00,3.6175e-4,2170.00,4.52816e-4
ios9,9/20/2018,4183.00,2.53765e-4,1581.00,3.2991e-4
amazon-emr,9/20/2018,3041.00,1.84485e-4,1240.00,2.58752e-4
amazon-ses,9/20/2018,933.00,5.66e-5,354.00,7.39e-5
amazon-cognito,9/20/2018,2822.00,1.71199e-4,1201.00,2.50614e-4
google-spreadsheet,9/20/2018,15638.00,9.48688e-4,5969.00,1.25E-03
amazon-cloudsearch,9/20/2018,319.00,1.94e-5,135.00,2.82e-5
amazon-rds-aurora,9/20/2018,321.00,1.95e-5,147.00,3.07e-5
amazon-data-pipeline,9/20/2018,402.00,2.44e-5,199.00,4.15e-5
dropbox-api,9/20/2018,2072.00,1.25699e-4,831.00,1.73405e-4
citrix,9/20/2018,598.00,3.63e-5,293.00,6.11e-5
excel,9/20/2018,177394.00,1.08E-02,61782.00,1.29E-02
ios,9/20/2018,577065.00,3.50E-02,189221.00,3.95E-02
amazon-elastic-beanstalk,9/20/2018,5477.00,3.32266e-4,2217.00,4.62623e-4
amazon-ec2,9/20/2018,22729.00,1.38E-03,8493.00,1.77E-03
amazon-rds,9/20/2018,2527.00,1.53302e-4,1024.00,2.13679e-4
actionscript,9/20/2018,9100.00,5.52059e-4,2443.00,5.09784e-4
amazon-mws,9/20/2018,705.00,4.28e-5,278.00,5.8e-5
android-pay,9/20/2018,490.00,2.97e-5,221.00,4.61e-5
paypal,9/20/2018,18058.00,1.10E-03,8415.00,1.76E-03
amazon-route53,9/20/2018,1095.00,6.64e-5,387.00,8.08e-5
windows,9/20/2018,124696.00,7.56E-03,38972.00,8.13E-03
amazon-cloudfront,9/20/2018,2259.00,1.37044e-4,885.00,1.84674e-4
applepayjs,9/20/2018,30.00,1.82e-6,19.00,3.96e-6
excel,9/19/2018,177297.00,1.08E-02,61745.00,1.29E-02
amazon-s3,9/19/2018,25364.00,1.54E-03,9983.00,2.08E-03
amazon-cloudfront,9/19/2018,2258.00,1.3705e-4,884.00,1.84604e-4
amazon,9/19/2018,3638.00,2.20809e-4,1413.00,2.95073e-4
amazon-cloudsearch,9/19/2018,319.00,1.94e-5,135.00,2.82e-5
amazon-simpledb,9/19/2018,392.00,2.38e-5,78.00,1.63e-5
actionscript-3,9/19/2018,41149.00,2.50E-03,11031.00,2.30E-03
amazon-ecs,9/19/2018,1067.00,6.48e-5,507.00,1.05875e-4
ios8,9/19/2018,9400.00,5.70535e-4,3213.00,6.70964e-4
azure,9/19/2018,61032.00,3.70E-03,21018.00,4.39E-03
sql-server,9/19/2018,242044.00,1.47E-02,60722.00,1.27E-02
amazon-redshift,9/19/2018,3472.00,2.10734e-4,1254.00,2.6187e-4
amazon-lambda,9/19/2018,7953.00,4.82708e-4,7953.00,1.66E-03
amazon-glacier,9/19/2018,192.00,1.17e-5,59.00,1.23e-5
applepayjs,9/19/2018,30.00,1.82e-6,19.00,3.97e-6
android-pay,9/19/2018,490.00,2.97e-5,221.00,4.62e-5
amazon-web-services,9/19/2018,63660.00,3.86E-03,25034.00,5.23E-03
amazon-cloudwatch,9/19/2018,1163.00,7.06e-5,496.00,1.03578e-4
citrix,9/19/2018,597.00,3.62e-5,292.00,6.1e-5
dropbox,9/19/2018,3071.00,1.86394e-4,1171.00,2.44537e-4
amazon-elasticache,9/19/2018,432.00,2.62e-5,178.00,3.72e-5
windows,9/19/2018,124649.00,7.57E-03,38945.00,8.13E-03
amazon-sqs,9/19/2018,1573.00,9.55e-5,552.00,1.15273e-4
ios9,9/19/2018,4183.00,2.53888e-4,1581.00,3.30157e-4
amazon-ec2,9/19/2018,22709.00,1.38E-03,8481.00,1.77E-03
amazon-emr,9/19/2018,3039.00,1.84453e-4,1239.00,2.58737e-4
amazon-cloudformation,9/19/2018,2497.00,1.51556e-4,883.00,1.84395e-4
amazon-dynamodb,9/19/2018,5956.00,3.615e-4,2167.00,4.52529e-4
amazon-sns,9/19/2018,1396.00,8.47e-5,598.00,1.24879e-4
amazon-elastic-beanstalk,9/19/2018,5471.00,3.32063e-4,2213.00,4.62135e-4
ios,9/19/2018,576836.00,3.50E-02,189101.00,3.95E-02
mongodb,9/19/2018,103983.00,6.31E-03,36498.00,7.62E-03
android,9/19/2018,1137328.00,6.90E-02,424575.00,8.87E-02
amazon-ses,9/19/2018,933.00,5.66e-5,355.00,7.41e-5
amazon-cognito,9/19/2018,2816.00,1.70918e-4,1197.00,2.49966e-4
amazon-ebs,9/19/2018,338.00,2.05e-5,55.00,1.15e-5
applepay,9/19/2018,356.00,2.16e-5,173.00,3.61e-5
cognos,9/19/2018,849.00,5.15e-5,380.00,7.94e-5
osx,9/19/2018,87408.00,5.31E-03,87408.00,1.83E-02
amazon-data-pipeline,9/19/2018,402.00,2.44e-5,199.00,4.16e-5
amazon-route53,9/19/2018,1094.00,6.64e-5,386.00,8.06e-5
paypal,9/19/2018,18050.00,1.10E-03,8409.00,1.76E-03
amazon-mws,9/19/2018,703.00,4.27e-5,276.00,5.76e-5
amazon-kinesis,9/19/2018,758.00,4.6e-5,373.00,7.79e-5
amazon-rds-aurora,9/19/2018,319.00,1.94e-5,145.00,3.03e-5
stripe-payments,9/19/2018,4950.00,3.00442e-4,1790.00,3.73794e-4
amazon-elb,9/19/2018,1448.00,8.79e-5,561.00,1.17152e-4
amazon-vpc,9/19/2018,718.00,4.36e-5,215.00,4.49e-5
